aX,aY,aZ,gX,gY,gZ
0.790,0.523,0.348,0.427,-4.822,-5.066
0.796,0.521,0.350,0.427,-3.845,-4.761
0.805,0.522,0.347,0.427,-2.441,-4.517
0.809,0.522,0.345,1.648,-0.061,-4.272
0.814,0.522,0.347,2.380,-0.183,-4.517
0.816,0.520,0.349,1.648,-2.808,-5.005
0.818,0.518,0.346,0.671,-4.272,-4.700
0.815,0.521,0.344,-0.366,-5.249,-2.625
0.807,0.520,0.341,-0.183,-5.127,-1.892
0.803,0.516,0.343,0.488,-5.127,-1.587
0.788,0.513,0.352,1.831,-5.005,-1.343
0.784,0.515,0.354,1.465,-4.944,-1.343
0.786,0.515,0.353,0.244,-5.920,-2.197
0.789,0.516,0.349,0.122,-7.080,-2.319
0.787,0.516,0.352,0.183,-10.132,-3.235
0.788,0.507,0.356,0.061,-11.597,-4.395
0.795,0.499,0.357,0.305,-11.902,-4.639
0.796,0.502,0.362,0.732,-10.132,-3.357
0.792,0.507,0.363,2.319,-4.150,-2.136
0.797,0.505,0.367,3.357,-2.014,-2.686
0.798,0.504,0.373,4.333,-2.686,-3.479
0.786,0.509,0.383,3.845,-4.578,-3.601
0.784,0.508,0.385,1.953,-8.362,-4.639
0.787,0.504,0.388,1.160,-9.644,-5.127
0.791,0.503,0.389,0.488,-10.498,-5.310
0.796,0.500,0.389,0.122,-10.437,-5.188
0.795,0.500,0.389,-0.427,-10.132,-4.761
0.803,0.494,0.386,-0.366,-10.254,-4.944
0.808,0.490,0.386,-0.244,-10.559,-4.883
0.804,0.488,0.389,0.244,-10.010,-4.211
0.802,0.488,0.395,0.732,-9.033,-3.418
0.797,0.490,0.407,0.671,-7.446,-2.014

0.731,-1.482,0.830,72.449,-13.184,-55.359
0.857,-1.458,0.957,66.162,16.785,-21.667
0.959,-1.391,1.105,43.396,29.236,-0.610
0.901,-1.315,1.076,-28.931,51.453,52.307
0.610,-1.171,0.795,-64.575,67.810,80.566
0.439,-1.151,0.653,-100.525,112.549,128.967
0.165,-1.063,0.543,-99.304,134.827,146.118
0.113,-0.969,0.572,-83.679,172.668,166.077
0.142,-0.734,0.659,-79.529,185.730,168.030
0.191,-0.599,0.677,-83.252,196.777,159.119
0.296,-0.361,0.661,-87.402,197.327,153.259
0.333,-0.273,0.653,-92.773,200.378,149.231
0.397,-0.025,0.643,-90.820,206.543,149.597
0.417,0.143,0.616,-74.280,231.323,143.616
0.491,0.435,0.537,-64.148,247.498,137.451
0.549,0.520,0.503,-50.964,270.203,132.385
0.600,0.657,0.464,-46.875,268.494,135.254
