aX,aY,aZ,gX,gY,gZ
-0.022,0.067,1.262,-0.305,14.343,-2.686
0.014,0.013,1.305,35.461,9.277,-5.432
-0.004,-0.147,1.083,20.569,13.000,-6.592
-0.020,-0.112,1.009,-14.465,19.165,-8.057
0.008,-0.103,0.962,-14.343,17.273,-7.324
0.035,-0.066,0.989,-9.399,0.732,-5.188
0.023,-0.065,0.992,-8.118,0.732,-4.395
0.018,-0.063,0.983,-5.432,1.526,-3.235
0.012,-0.060,0.993,-4.456,0.488,-2.808
0.007,-0.059,1.006,-3.784,-1.770,-2.197
-0.001,-0.068,1.008,-3.296,-2.136,-1.953
-0.003,-0.072,1.002,-1.770,-3.662,-1.038
-0.005,-0.088,0.994,-0.977,-3.967,-0.122
0.001,-0.092,0.995,0.122,-3.296,0.305
0.001,-0.093,0.999,3.113,-1.770,-0.122
0.000,-0.085,1.008,3.662,-1.892,-0.061
-0.001,-0.077,1.017,1.526,-3.235,-0.427
-0.016,-0.079,1.017,0.122,-3.418,-0.854
-0.024,-0.084,1.008,-1.648,-2.502,-1.404
-0.034,-0.083,0.998,-2.014,-1.343,-1.648
-0.036,-0.080,0.993,-1.221,1.892,-1.770
-0.024,-0.062,0.987,-0.183,3.662,-1.404
0.007,-0.050,0.992,2.747,5.371,-0.183
0.019,-0.056,0.996,3.906,4.822,0.305
0.026,-0.060,1.004,2.991,1.160,0.732
0.019,-0.080,0.995,1.587,1.648,0.427
0.008,-0.077,0.987,2.319,2.136,0.000
0.001,-0.078,0.991,2.686,2.380,-0.427
0.004,-0.080,1.005,2.136,1.587,-0.671
-0.001,-0.093,1.003,1.709,0.000,-0.610
-0.008,-0.095,1.003,0.488,-3.723,-0.671
-0.019,-0.090,1.005,1.160,-3.723,-0.427
-0.014,-0.087,1.009,1.892,-2.808,0.244
0.007,-0.083,1.011,1.038,0.183,0.977
0.014,-0.078,1.005,-0.244,1.648,-0.061
0.016,-0.074,0.999,-2.014,1.038,-2.747
-0.004,-0.082,0.996,-2.014,-1.343,-3.052
-0.016,-0.090,1.000,-0.793,-3.540,-1.648
-0.019,-0.083,1.005,-0.549,-2.136,-1.099
-0.015,-0.076,0.998,0.916,2.686,-0.427
0.000,-0.062,0.992,1.526,4.211,-0.244
0.005,-0.060,0.995,2.563,5.554,-0.793
0.013,-0.071,0.993,2.808,5.310,-0.977
0.023,-0.075,0.996,1.099,0.610,-0.854
0.028,-0.082,1.013,-0.305,-2.441,-0.793
0.028,-0.088,1.013,-1.526,-4.089,-0.610
0.029,-0.088,0.996,-1.831,-4.211,-0.183
0.022,-0.084,0.995,-1.343,-4.333,-0.427

-0.247,0.859,2.482,-55.237,-91.919,20.874
-0.416,0.849,2.710,41.809,-90.759,43.457
-0.458,0.762,2.605,99.487,-66.040,52.246
-0.402,0.654,2.170,200.439,8.911,59.265
-0.328,0.622,1.937,235.657,41.626,59.875
-0.197,0.564,1.505,288.391,81.360,56.641
-0.149,0.558,1.308,312.256,89.172,52.856
-0.118,0.553,1.127,347.412,84.412,50.354
-0.113,0.486,0.834,356.873,82.397,52.551
-0.118,0.423,0.708,370.850,101.379,55.481
-0.113,0.320,0.418,378.418,122.437,51.880
-0.082,0.290,0.273,383.057,175.476,30.823
0.032,0.218,0.027,382.019,196.106,14.893
0.098,0.170,-0.080,389.526,190.491,-18.799
0.111,0.018,-0.306,396.240,163.940,-28.442
0.061,-0.104,-0.404,401.733,130.371,-31.311
-0.029,-0.222,-0.542,409.485,77.942,-29.053
-0.256,-0.419,-0.945,409.302,76.233,-31.311
-0.377,-0.481,-1.199,395.813,124.573,-47.913
-0.601,-0.587,-1.817,381.775,163.635,-53.833
-0.458,-0.745,-2.111,311.829,196.777,-22.278
-0.020,-1.278,-2.243,237.061,160.339,17.334
0.168,-1.321,-2.081,48.340,21.179,60.364
