aX,aY,aZ,gX,gY,gZ
-0.229,0.039,0.489,73.669,-121.582,-103.149
-0.302,-0.251,0.343,74.158,-96.069,-100.708
-0.257,-0.981,0.081,66.406,-29.785,-82.581
-0.191,-1.382,-0.038,35.889,-0.732,-43.762
-0.117,-2.020,-0.221,20.996,3.540,-28.625
0.002,-2.221,-0.228,24.658,0.488,-57.800
0.557,-2.278,0.125,50.659,-16.113,-101.196
0.894,-2.146,0.434,95.398,-57.556,-164.734
1.427,-1.786,0.859,80.078,-56.824,-152.344
1.486,-1.607,0.870,-26.428,12.512,-38.574
1.093,-1.457,0.541,-82.153,63.354,39.856
0.800,-1.482,0.347,-127.808,122.986,153.931
0.330,-1.518,0.136,-125.977,114.563,171.326
0.172,-1.508,0.101,-103.271,34.241,153.564
0.014,-1.384,0.172,-88.440,-14.404,137.268
-0.033,-1.223,0.291,-71.899,-65.063,125.427
-0.197,-0.763,0.518,-72.266,-51.392,129.578
-0.234,-0.519,0.611,-74.585,37.537,133.179
-0.106,-0.119,0.758,-76.904,80.261,128.235
0.038,0.197,0.787,-86.304,101.440,104.797
0.073,0.345,0.767,-89.478,87.891,87.830
0.105,0.472,0.751,-83.862,61.584,53.955
0.188,0.681,0.809,-75.623,56.763,43.335
0.223,0.781,0.884,-64.148,53.040,31.677
0.291,0.930,0.974,-64.453,50.964,23.621
0.359,0.946,0.945,-67.200,48.462,0.122
0.559,0.947,0.874,-60.913,49.744,-9.094
0.650,0.965,0.875,-38.574,50.537,-15.564
0.749,0.965,0.883,-28.931,44.189,-16.846
0.752,0.939,0.881,-11.230,18.494,-23.987
0.714,0.834,0.905,-1.099,4.883,-29.236
0.682,0.699,0.993,20.203,-16.113,-36.682
0.654,0.625,1.032,26.184,-22.644,-36.926
0.633,0.547,1.058,25.391,-21.851,-35.889
0.665,0.407,1.054,21.057,-14.465,-35.217
0.707,0.349,1.018,11.841,2.258,-26.611
0.762,0.267,0.930,9.827,7.812,-18.799
0.765,0.244,0.900,9.705,8.362,-7.812
0.752,0.194,0.857,9.521,3.235,-6.836
0.754,0.169,0.842,7.324,-12.207,-7.080
0.703,0.127,0.828,5.066,-17.822,-5.554
0.667,0.118,0.819,2.319,-18.372,-0.732
0.606,0.110,0.802,1.953,-13.611,1.099
0.585,0.102,0.797,1.831,-2.380,3.601
0.566,0.081,0.795,1.831,0.549,4.333
0.563,0.074,0.801,2.380,-1.099,2.991
0.560,0.060,0.822,2.441,-3.906,1.404
0.561,0.056,0.834,0.549,-7.629,-0.854
0.570,0.060,0.838,-0.916,-7.141,-1.160
0.575,0.062,0.838,-2.075,-0.732,0.488
0.566,0.074,0.833,-2.686,4.089,1.770
0.575,0.073,0.825,-4.333,9.644,2.808
0.589,0.093,0.813,-4.578,7.385,2.563
0.577,0.111,0.801,-4.517,3.906,0.732
0.547,0.123,0.785,-3.235,5.859,0.549
0.561,0.110,0.808,0.854,7.141,-0.366
0.573,0.107,0.812,1.953,-0.366,-3.662
0.562,0.118,0.801,2.136,-1.099,-3.967
0.555,0.117,0.793,3.296,6.348,-2.991
0.570,0.097,0.791,3.723,9.338,-2.014
0.575,0.090,0.803,4.822,5.310,-2.563
0.589,0.082,0.827,5.371,1.099,-5.127
0.612,0.070,0.837,5.798,-4.700,-9.094
0.652,0.053,0.862,5.127,-7.324,-8.423
0.646,0.061,0.864,3.479,-8.362,-6.653
0.632,0.072,0.851,0.793,-2.075,-3.113
0.631,0.073,0.850,0.122,5.493,1.709
0.616,0.088,0.843,-1.160,6.897,3.357
0.608,0.092,0.829,-2.991,4.700,2.930
0.596,0.100,0.815,-2.197,1.953,2.014
0.587,0.106,0.817,-0.977,-1.099,0.122
0.583,0.108,0.816,-0.793,-0.854,-0.549
0.587,0.109,0.814,0.183,0.488,-0.366
0.592,0.108,0.813,0.427,0.732,0.000
0.592,0.105,0.812,0.793,-0.305,0.549
0.595,0.104,0.824,1.221,-0.977,0.427
0.601,0.098,0.830,0.793,-2.808,-0.488
0.604,0.093,0.832,0.122,-3.418,-0.427
0.601,0.093,0.832,-1.038,-1.892,-0.061
0.603,0.086,0.826,-1.526,-0.610,0.305
0.608,0.089,0.821,-2.258,1.160,1.892
0.607,0.092,0.817,-2.441,1.282,2.441
0.601,0.100,0.806,-2.258,1.404,2.930
0.597,0.100,0.805,-1.953,1.404,2.686
0.593,0.093,0.807,-1.160,-0.366,1.587
0.589,0.094,0.810,-1.099,-1.160,1.343
0.579,0.097,0.824,-1.343,-0.854,1.465
0.583,0.096,0.827,-1.831,-0.671,1.038
0.589,0.097,0.825,-1.892,-1.343,-0.061
0.588,0.098,0.823,-0.977,0.488,0.366
0.594,0.099,0.822,-0.549,1.709,0.732
0.595,0.101,0.818,-1.526,1.831,0.610
0.596,0.107,0.806,-1.892,1.038,0.366
0.598,0.110,0.805,-1.099,0.061,-0.610
0.610,0.102,0.807,-0.549,-0.427,-0.732
0.609,0.102,0.810,0.427,-0.854,0.488
0.602,0.105,0.811,0.366,0.061,1.221
0.600,0.104,0.810,0.305,0.854,1.953
0.591,0.105,0.812,0.366,0.183,1.526
0.590,0.103,0.812,0.793,-1.221,-0.183
0.588,0.101,0.823,0.854,-1.343,-0.061
0.587,0.101,0.830,-0.427,-0.305,0.732
0.592,0.099,0.828,-0.916,0.061,0.793
0.595,0.102,0.825,-0.427,0.183,0.366
0.597,0.098,0.823,-0.122,-0.366,-0.122
0.600,0.096,0.821,-0.244,-1.404,-0.244
0.594,0.099,0.819,-0.549,-0.732,0.427
0.589,0.099,0.815,-1.282,0.977,1.404
0.584,0.101,0.812,-1.648,0.977,1.587

0.839,0.907,1.154,12.756,22.766,6.287
0.902,1.051,1.239,29.175,-2.441,2.197
