aX,aY,aZ,gX,gY,gZ
0.337,-0.101,1.304,13.611,-32.043,54.382
0.278,-0.141,1.274,12.268,-26.489,56.458
0.237,-0.149,1.263,16.968,-20.935,57.983
0.142,-0.162,1.265,19.531,-22.827,57.068
0.091,-0.174,1.279,18.066,-34.302,50.293
0.011,-0.188,1.301,14.587,-36.804,45.105
0.005,-0.196,1.288,3.906,-29.114,33.325
0.028,-0.206,1.195,-1.831,-24.048,28.809
0.035,-0.199,1.136,-6.409,-16.907,23.743
0.054,-0.183,1.055,-5.127,-14.832,21.240
0.073,-0.182,1.035,-4.639,-13.123,16.113
0.106,-0.174,0.997,-6.287,-12.817,14.038
0.120,-0.162,0.972,-8.972,-10.986,8.728
0.151,-0.130,0.917,-9.216,-9.766,6.470
0.165,-0.115,0.891,-8.240,-7.751,2.991
0.185,-0.095,0.858,-6.409,-8.118,1.160
0.193,-0.085,0.864,-0.549,-10.254,-2.686
0.226,-0.077,0.894,0.977,-11.047,-4.822
0.244,-0.079,0.898,1.770,-11.597,-7.019
0.274,-0.084,0.885,2.563,-11.475,-6.836
0.289,-0.084,0.886,6.348,-11.597,-6.592
0.310,-0.087,0.906,8.606,-10.986,-6.775
0.318,-0.091,0.914,10.986,-8.118,-6.104
0.309,-0.100,0.924,11.169,-7.690,-4.944
0.296,-0.104,0.936,10.681,-9.399,-4.211
0.290,-0.108,0.968,9.766,-10.071,-4.578
0.291,-0.109,0.982,6.226,-10.925,-4.333
0.302,-0.115,0.983,4.272,-10.864,-3.845
0.293,-0.116,0.978,3.357,-8.484,-1.526
0.285,-0.113,0.987,7.507,-2.197,1.953
0.263,-0.104,0.999,8.240,0.671,2.380
0.261,-0.097,1.002,2.686,-0.122,1.404
0.263,-0.089,1.003,-0.183,-2.563,1.160
0.264,-0.089,1.004,-0.427,-2.502,1.709
0.264,-0.090,1.005,-0.916,-0.671,2.869
0.259,-0.095,0.992,-3.174,1.282,3.967
0.261,-0.097,0.969,-2.197,1.648,3.174
0.262,-0.105,0.963,-0.732,0.122,1.892
0.263,-0.114,0.973,-0.183,-0.549,1.953
0.266,-0.110,0.982,-1.343,-1.831,2.319
0.274,-0.110,0.968,-3.174,-3.418,2.747
0.277,-0.114,0.948,-4.456,-4.211,4.089
0.274,-0.111,0.927,-2.808,-3.906,5.005
0.266,-0.110,0.935,3.235,-3.967,6.592
0.245,-0.098,0.965,5.554,-3.235,6.775
0.239,-0.099,0.969,4.517,0.061,7.263
0.234,-0.107,0.944,2.502,0.793,7.080
0.232,-0.103,0.934,0.671,-2.136,5.127
0.236,-0.086,0.940,1.648,-3.662,3.601
0.243,-0.089,0.958,3.845,-4.883,1.587
0.245,-0.097,0.973,4.150,-5.127,1.221
0.244,-0.095,0.972,6.287,-4.944,0.549
0.250,-0.110,0.973,5.371,-5.249,0.854
0.251,-0.109,0.974,1.343,-5.249,2.747

1.099,-0.172,1.446,33.630,-44.373,40.222
1.108,-0.249,1.498,26.306,-57.922,70.801
1.021,-0.423,1.654,21.423,-63.293,94.604
0.751,-0.531,1.838,9.949,-67.505,134.827
0.527,-0.578,1.920,-13.000,-72.937,153.564
0.004,-0.639,2.038,-28.503,-78.491,156.738
-0.205,-0.664,2.047,-64.575,-80.688,155.151
-0.527,-0.728,1.966,-82.275,-75.378,154.602
-0.658,-0.748,1.900,-103.943,-48.523,155.396
-0.835,-0.768,1.710,-115.723,-4.028,149.536
-0.952,-0.732,1.443,-119.934,17.822,142.761
-0.984,-0.707,1.301,-128.540,44.373,120.239
-0.986,-0.687,1.023,-135.254,44.556,101.135
-0.967,-0.667,0.893,-149.231,19.653,48.889
-0.874,-0.605,0.678,-154.175,0.427,22.644
-0.807,-0.578,0.586,-155.762,-18.677,-17.395
-0.692,-0.533,0.396,-151.062,-11.841,-29.907
-0.629,-0.448,0.204,-133.911,18.921,-42.969
-0.618,-0.382,0.118,-124.084,33.936,-45.410
-0.601,-0.239,-0.008,-105.652,54.993,-49.561
-0.567,-0.180,-0.050,-94.543,50.110,-63.599
-0.468,-0.076,-0.103,-89.844,38.818,-75.562
-0.409,-0.029,-0.115,-77.698,12.512,-102.356
-0.239,0.047,-0.073,-70.374,1.038,-112.732
-0.133,0.073,-0.017,-52.490,-10.559,-119.019
0.006,0.121,0.110,-42.480,-8.362,-116.455
0.043,0.144,0.163,-20.264,5.127,-114.929
0.125,0.190,0.249,-10.620,9.583,-118.774
0.182,0.182,0.285,2.136,5.554,-132.446
0.349,0.132,0.353,6.836,-0.549,-139.465
0.451,0.109,0.382,14.160,-11.108,-145.874
0.611,0.087,0.420,17.822,-15.686,-144.226
0.663,0.079,0.429,27.649,-20.996,-139.404
0.731,0.047,0.467,33.508,-23.254,-135.803
0.750,0.046,0.511,49.133,-25.146,-124.207
0.779,0.032,0.602,56.030,-22.217,-117.432
0.775,0.035,0.691,64.270,-12.634,-98.694
0.758,0.048,0.733,67.017,-3.845,-82.031
0.744,0.057,0.793,66.467,-2.747,-79.346
0.758,0.040,0.818,62.805,-8.606,-77.515
0.782,-0.027,0.858,60.486,-11.169,-73.364
0.789,-0.056,0.869,58.411,-8.362,-59.692
0.786,-0.091,0.902,58.411,-6.653,-52.795
0.756,-0.083,0.970,58.044,-7.324,-39.612
0.727,-0.077,1.006,58.167,-6.409,-32.959
0.677,-0.087,1.026,55.420,2.747,-20.813
0.679,-0.081,1.003,51.575,7.202,-17.273
0.671,-0.028,0.976,46.265,4.395,-11.169
0.658,-0.016,0.994,51.025,-12.268,-7.690
0.641,-0.054,1.059,53.711,-19.836,-6.775
0.617,-0.067,1.101,56.702,-20.264,0.977
0.609,-0.066,1.195,55.420,-12.695,8.545
0.606,-0.065,1.219,45.166,-0.366,21.790
0.589,-0.071,1.208,38.574,1.648,25.940
0.576,-0.057,1.184,31.128,8.606,31.982
0.562,-0.022,1.128,31.738,14.221,34.973
0.547,-0.028,1.115,39.063,14.221,38.391
0.475,-0.049,1.165,44.250,3.540,36.682
0.438,-0.079,1.214,45.288,-14.893,37.231
0.421,-0.105,1.256,40.161,-14.954,36.499
0.410,-0.096,1.252,31.250,-17.456,34.912
0.397,-0.109,1.235,26.672,-17.944,38.818
0.335,-0.152,1.201,19.104,-12.207,47.363
0.284,-0.151,1.189,19.653,-11.353,49.133
0.177,-0.168,1.193,22.095,-7.080,54.504
0.139,-0.187,1.192,19.653,-6.958,54.443
0.108,-0.217,1.171,12.207,-16.418,45.044
0.098,-0.215,1.157,10.376,-22.034,41.260
0.078,-0.203,1.100,9.949,-20.081,40.161
0.069,-0.206,1.072,10.376,-14.099,40.222
0.049,-0.215,1.055,9.033,-7.141,38.208
0.011,-0.227,1.049,7.324,-7.568,34.851
0.001,-0.214,1.076,4.517,-10.376,27.100
0.008,-0.204,1.090,1.892,-11.230,23.682
0.019,-0.201,1.092,-5.188,-7.263,16.541
0.058,-0.180,1.054,-8.118,-2.930,13.733
0.082,-0.167,1.015,-9.949,6.714,9.827
0.117,-0.149,0.937,-7.385,10.010,8.301
0.134,-0.144,0.920,1.282,8.972,3.296
